12,39,28.0,-,26,44,32,7.3,M68/NGC4590,GC,12.3,11,,
16,17,2.5,-,22,58,28,7.3,M80/NGC6093,GC,12.1,10,,
22,29,38.4,-,20,50,11,7.3,NGC7293/PK36-57.1/Helix_Nebula,PN,13.3,18,,
7,31,41.9,-,16,58,37,7.3,Bochum4,OC,,23,,
6,30,18.0,+,2,52,0,7.3,Cr96,OC,,8,,
3,44,34.1,+,32,9,47,7.3,IC348/IC1985,OC[IV2pn],,10,,
20,16,31.7,+,37,38,35,7.3,IC4996,OC[II3p],,7,,
6,34,38.4,+,8,21,59,7.3,NGC2251,OC,,10,,
7,31,36.7,-,17,11,23,7.3,NGC2409,OC,,2,,
7,55,12.0,-,24,15,30,7.3,NGC2482,OC,,10,,
19,41,18.0,+,40,11,0,7.3,NGC6819,OC,,5,,
1,33,23.0,+,60,39,30,7.4,M103/NGC581,OC,11.0,6,,
19,59,36.3,+,22,43,18,7.4,M27/NGC6853/Dumbbell_Nebula,PN,11.3,7,,
13,46,26.5,-,51,22,22,7.4,NGC5286,GC,12.4,11,,
20,23,12.0,+,40,46,43,7.4,NGC6910,OC,,10,,
9,27,27.0,-,56,57,24,7.4,IC2488,OC[II2m],,18,,
7,25,10.0,-,21,1,18,7.4,NGC2384,OC,,5,,
7,28,0.0,-,11,43,0,7.4,NGC2396,OC,,10,,
8,18,32.0,-,30,38,24,7.4,NGC2567,OC,,11,,
10,38,46.0,-,54,6,54,7.4,NGC3330,OC,,6,,
12,6,39.5,-,61,15,0,7.4,NGC4103,OC,,6,,
12,24,6.0,-,61,52,13,7.4,NGC4349,OC,,4,,
16,44,8.6,-,47,28,11,7.4,NGC6200,OC,,15,,
17,38,36.9,-,23,54,30,7.4,NGC6401,GC,10.6,5,,
13,37,0.2,-,29,52,2,7.5,M83/NGC5236,GX,12.7,13,12,44.0
10,45,18.0,-,59,45,0,7.5,Cr234,OC,,4,,
5,22,45.6,+,33,24,52,7.5,NGC1893,OC,,10,,
6,47,40.1,-,3,8,52,7.5,NGC2286,OC,,15,,
8,20,52.7,-,36,12,58,7.5,NGC2579,OC,,19,,
18,54,34.0,-,19,54,30,7.5,NGC6716,OC,,10,,
19,7,49.0,+,4,16,0,7.5,NGC6755,OC,,15,,
13,32,12.0,-,58,29,0,7.5,Ru108,OC,,12,,
17,41,36.0,-,40,7,0,7.5,Tr29/Cr343,OC,,9,,
17,37,36.1,-,3,14,43,7.6,M14/NGC6402,GC,12.6,11,,
8,0,1.7,-,10,46,11,7.6,NGC2506,OC,,12,,
6,45,0.0,+,0,18,0,7.6,Do25,OC,,24,,
4,51,5.4,+,43,40,34,7.6,NGC1664,OC,,18,,
7,55,39.0,-,27,53,42,7.6,NGC2483,OC,,9,,
8,7,4.0,-,29,52,0,7.6,NGC2533,OC,,6,,
10,24,12.0,-,57,45,48,7.6,NGC3247,OC,,5,,
11,25,38.0,-,43,15,0,7.6,NGC3680,OC,,7,,
13,27,16.0,-,59,2,30,7.6,NGC5138,OC,,8,,
18,3,25.0,-,27,53,28,7.6,NGC6520,OC,,5,,
20,3,55.1,+,44,9,33,7.6,NGC6866,OC,,7,,
21,11,12.0,+,45,39,0,7.6,NGC7039,OC,,15,,
2,33,21.0,+,57,33,36,7.6,NGC957,OC,,10,,
13,12,55.3,+,18,10,11,7.7,M53/NGC5024,GC,13.0,13,,
18,55,3.3,-,30,28,40,7.7,M54/NGC6715,GC,12.9,12,,
5,24,10.6,-,24,31,25,7.7,M79/NGC1904,GC,12.4,10,,
10,24,46.1,-,18,38,31,7.7,NGC3242/PK261+32.1/Ghost_Of_Jupiter,PN,7.6,1,,
20,6,48.0,+,38,21,0,7.7,Basel6,OC,,14,,
10,57,0.0,-,61,7,0,7.7,Cr236,OC,,8,,
13,30,36.0,-,61,16,0,7.7,Cr272,OC,,9,,
19,53,6.0,+,18,21,0,7.7,Harvard20,OC,,7,,
5,8,5.0,+,37,1,24,7.7,NGC1778,OC,,8,,
5,12,27.0,+,16,41,0,7.7,NGC1817,OC,,20,,
6,34,19.8,+,5,19,22,7.7,NGC2252,OC,,18,,
7,8,18.7,-,13,11,37,7.7,NGC2345,OC,,12,,
11,4,2.7,-,61,22,5,7.7,NGC3519,OC,,8,,
14,27,47.2,-,59,37,56,7.7,NGC5606,OC,,3,,
22,5,8.0,+,46,29,0,7.7,NGC7209,OC,,15,,
22,12,24.0,+,57,16,24,7.7,NGC7234/NGC7235,OC,,6,,
11,4,24.0,-,61,22,0,7.7,Ru93,OC,,4,,
13,32,12.0,-,62,47,0,7.7,Tr21/Cr274,OC,,4,,
17,36,54.0,-,32,28,0,7.7,Tr28/Cr337,OC,,8,,
16,32,31.9,-,13,3,11,7.8,M107/NGC6171,GC,13.1,13,,
18,43,12.7,-,32,17,29,7.8,M70/NGC6681,GC,12.1,8,,
17,19,11.8,-,18,30,57,7.8,M9/NGC6333,GC,13.0,12,,
17,25,29.2,-,48,25,20,7.8,NGC6352,GC,12.3,9,,
8,23,18.0,-,36,20,0,7.8,Cr185,OC,,9,,
9,0,36.0,-,48,59,0,7.8,Cr205,OC,,2,,
7,26,18.0,-,47,41,0,7.8,Mel66/Cr147,OC,,10,,
8,45,30.0,-,48,47,30,7.8,NGC2670,OC,,7,,
18,36,30.6,-,8,11,15,7.8,NGC6664,OC,,12,,
19,52,12.5,+,29,24,29,7.8,NGC6834,OC,,6,,
20,31,30.0,+,60,39,42,7.8,NGC6939,OC,,10,,
15,15,24.0,-,59,4,0,7.8,Pismis20,OC,,4,,
